PS 25/2G WS;1
SA 56-11 RT;1
LED 5MM GN;1
METALL 100K;1
METALL 221;2
KERKO 100P;1
RAD 1/63;1
RK09K113-LIN50K;1
IRF 1405;8
GS 8;4
MCP 14E10-E/P;4
BL 1X20G8 2,54;1
SL 1X36G 2,54;1
1N 5817;1
